book_name,author_name,announcer_name,book_type,publishing,publishing_year,genre,stars,language,release_date,days_from_release,recording_minutes,recording_hours
הכינה נחמה,מאיר שלו, מאיר שלו,Aoudio book,Storyside,2021.0,Kids,4.56,Hebrew,2021-04-27,766,10.0,0.0
אבא עושה בושות,מאיר שלו, מאיר שלו,Aoudio book,Storyside,2021.0,Kids,4.29,Hebrew,2021-04-27,766,6.0,0.0
Harry Potter and the Prisoner of Azkaban,J.K. Rowling, Stephen Fry,Aoudio book בנוסף Digital bookי,Pottermore,2015.0,Kids,4.82,English,2015-11-20,2751,3.0,12.0
Harry Potter and the Philosopher's Stone,J.K. Rowling, Stephen Fry,Aoudio book בנוסף Digital bookי,Pottermore,2015.0,Kids,4.7,English,2015-11-20,2751,25.0,8.0
קרמר החתול ישן כל הזמן,מאיר שלו, איל קיציס,Aoudio book,Storyside,2021.0,Kids,4.46,Hebrew,2021-04-27,766,3.0,0.0
הרפתקאות דוד אריה בערבות רומניה,ינץ לוי, ינץ לוי,Aoudio book,Storyside,2021.0,Kids,4.59,Hebrew,2021-10-05,605,54.0,0.0
שקשוקה שתיים,גליה עוז, גליה עוז,Aoudio book,Storyside,2023.0,Kids,0.0,Hebrew,2023-05-02,31,44.0,0.0
"מהר למיטות, ארנבונים קטנים",מריסבינה רוסו, ירדן אורלובסקי,Aoudio book,Storyside,2021.0,Kids,4.16,Hebrew,2021-03-29,795,5.0,0.0
קצת יותר גדול,ג׳ונתן אמט, אביה שפיצר,Aoudio book,Storyside,2021.0,Kids,4.73,Hebrew,2021-03-29,795,4.0,0.0
החתול במגפיים,אריך קסטנר, מוטי ברכאן,Aoudio book,Storyside,2021.0,Kids,4.81,Hebrew,2021-03-29,795,40.0,0.0
הטרקטור בארגז החול,מאיר שלו, איל קיציס,Aoudio book,Storyside,2021.0,Kids,4.66,Hebrew,2021-04-27,766,7.0,0.0
מנהרת הזמן (2): מבצע חומה ומגדל,גלילה רון פדר עמית, אילת פוזניאק,Aoudio book,Storyside,2022.0,Kids,4.68,Hebrew,2022-02-14,473,25.0,1.0
Harry Potter and the Half-Blood Prince,J.K. Rowling, Stephen Fry,Aoudio book בנוסף Digital bookי,Pottermore,2015.0,Kids,4.83,English,2015-11-20,2751,31.0,20.0
כראמל,מאירה ברנע גולדברג, רותם שפי,Aoudio book,Storyside,2021.0,Kids,4.6,Hebrew,2021-03-29,795,27.0,5.0
חבורת כוח המוח (10) ותעלומת העטלף השחור,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.67,Hebrew,2021-03-29,795,18.0,2.0
החבר הכי טוב של זואי,ליאור אייזלר, ליאור אייזלר,Aoudio book,Storyside,2021.0,Kids,4.25,Hebrew,2021-09-25,615,7.0,0.0
הינשוף שראה הפוך,יוסי גודארד, רמי ברוך,Aoudio book,Storyside,2022.0,Kids,5.0,Hebrew,2022-01-23,495,12.0,0.0
השיקוי המופלא,יובל אברמוביץ', יובל אברמוביץ',Aoudio book בנוסף Digital bookי,Storyside,2022.0,Kids,4.68,Hebrew,2022-08-21,285,11.0,0.0
Harry Potter and the Chamber of Secrets,J.K. Rowling, Stephen Fry,Aoudio book בנוסף Digital bookי,Pottermore,2015.0,Kids,4.78,English,2015-11-20,2751,43.0,9.0
Harry Potter and the Order of the Phoenix,J.K. Rowling, Stephen Fry,Aoudio book בנוסף Digital bookי,Pottermore,2015.0,Kids,4.8,English,2015-11-20,2751,1.0,29.0
פילים לא מתקבלים,ליזה מנטצ׳ב, זיו זוהר מאיר,Aoudio book,Storyside,2021.0,Kids,3.92,Hebrew,2021-03-29,795,3.0,0.0
פיתה וסיסי רבות,רונית חכם, רונית חכם,Aoudio book,Storyside,2021.0,Kids,3.5,Hebrew,2021-03-29,795,3.0,0.0
טיגר טיגר האם זו האמת,קייטי ביירון, רמי ברוך,Aoudio book בנוסף Digital bookי,Storyside,2021.0,Kids,4.67,Hebrew,2021-03-29,795,10.0,0.0
כראמל (4) האוצר הצהוב,מאירה ברנע גולדברג, אביה שפיצר,Aoudio book,Storyside,2021.0,Kids,4.83,Hebrew,2021-03-29,795,25.0,6.0
דוקטור מרשמלו מלו - סיפור בחרוזים,שלומית כהן-אסיף, שלומית כהן-אסיף,Aoudio book,Storyside,2021.0,Kids,5.0,Hebrew,2021-03-29,795,6.0,0.0
אין לי אבל יש לי,יובל אברמוביץ', יובל אברמוביץ',Aoudio book בנוסף Digital bookי,Storyside,2021.0,Kids,4.71,Hebrew,2021-03-29,795,3.0,0.0
איתמר מטיל על קירות,דויד גרוסמן, דליה שימקו,Aoudio book,Storyside,2021.0,Kids,4.42,Hebrew,2021-04-27,766,8.0,0.0
גור של דינוזאור,הדס ליבוביץ', הדס ליבוביץ',Aoudio book,Storyside,2021.0,Kids,5.0,Hebrew,2021-05-18,745,9.0,0.0
מי הכי גבוה ?,יונה טפר, יובל רז וקרן מזיג,Aoudio book,Storyside,2021.0,Kids,4.89,Hebrew,2021-06-25,707,4.0,0.0
הדודה שלי מרחוב הנביאים,יורם טהרלב, יורם טהרלב,Aoudio book,Storyside,2021.0,Kids,4.76,Hebrew,2021-07-25,677,7.0,0.0
האוצר של צ'מבלו,רוני חפר, רוני חפר,Aoudio book,Storyside,2021.0,Kids,4.6,Hebrew,2021-08-01,670,8.0,0.0
מתי מגיעים,רוני חפר, רוני חפר,Aoudio book,Storyside,2021.0,Kids,3.8,Hebrew,2021-09-19,621,11.0,0.0
הנמלה והצרצר,יעל שכנאי, יעל שכנאי,Aoudio book בנוסף Digital bookי,Storyside,2021.0,Kids,4.56,Hebrew,2021-09-25,615,5.0,0.0
מנהרת הזמן (1): ירושלים במצור,גלילה רון פדר עמית, אילת פוזניאק,Aoudio book,Storyside,2022.0,Kids,4.6,Hebrew,2022-02-15,472,18.0,1.0
מנהרת הזמן (53): נחש צפע,גלילה רון פדר עמית, נועה זוהר,Aoudio book,Storyside,2022.0,Kids,3.4,Hebrew,2022-02-15,472,28.0,1.0
משחקי בילוש (1): תעלומת החטיפה המסתורית,מיכאל אבס, עדי עזרא,Aoudio book,Storyside,2022.0,Kids,4.5,Hebrew,2022-02-15,472,41.0,1.0
שקשוקה מאמצת חתול איום ונורא,גליה עוז, גליה עוז,Aoudio book,Storyside,2023.0,Kids,3.0,Hebrew,2023-05-02,31,44.0,0.0
שקשוקה והמלחמה העולמית בין הטובים והרעים,גליה עוז, גליה עוז,Aoudio book,Storyside,2023.0,Kids,0.0,Hebrew,2023-05-02,31,59.0,0.0
שקשוקה נעלמת,גליה עוז, גליה עוז,Aoudio book,Storyside,2023.0,Kids,5.0,Hebrew,2023-05-02,31,48.0,0.0
Harry Potter and the Deathly Hallows,J.K. Rowling, Stephen Fry,Aoudio book בנוסף Digital bookי,Pottermore,2015.0,Kids,4.85,English,2015-11-20,2751,59.0,23.0
Harry Potter and the Goblet of Fire,J.K. Rowling, Stephen Fry,Aoudio book בנוסף Digital bookי,Pottermore,2015.0,Kids,4.82,English,2015-11-20,2751,54.0,20.0
אהבתי אותך מאז ומתמיד,הודה קוטב, נועה זוהר,Aoudio book,Storyside,2021.0,Kids,3.93,Hebrew,2021-03-29,795,2.0,0.0
"הו, איזו עוגה",ג׳אן פירנלי, ירדן אורלובסקי,Aoudio book,Storyside,2021.0,Kids,5.0,Hebrew,2021-03-29,795,4.0,0.0
מושלם בשביל שניים,טרייסי קורדרוי, אביה שפיצר,Aoudio book,Storyside,2021.0,Kids,4.56,Hebrew,2021-03-29,795,4.0,0.0
סיסי,רונית חכם, רונית חכם,Aoudio book,Storyside,2021.0,Kids,4.0,Hebrew,2021-03-29,795,2.0,0.0
סיסי עושה בלגן,רונית חכם, רונית חכם,Aoudio book,Storyside,2021.0,Kids,2.25,Hebrew,2021-03-29,795,3.0,0.0
חתולה וארנבון מחליפים בתים,דורית רביניאן, מיכה אוזין,Aoudio book,Storyside,2021.0,Kids,4.4,Hebrew,2021-03-29,795,5.0,0.0
כראמל (2) הנקמה,מאירה ברנע גולדברג, שירן גרוס,Aoudio book,Storyside,2021.0,Kids,4.69,Hebrew,2021-03-29,795,47.0,4.0
חבורת כוח המוח (13) בעקבות גנבי האופניים,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.73,Hebrew,2021-03-29,795,5.0,2.0
חבורת כוח המוח (14) - ורוח הרפאים,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.7,Hebrew,2021-03-29,795,14.0,2.0
חבורת כוח המוח (17) - והקלף המקולל,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.87,Hebrew,2021-03-29,795,7.0,2.0
חבורת כוח המוח (20) - עושים סדר!,זוהר אביב, נועה לפידות,Aoudio book,Storyside,2021.0,Kids,4.92,Hebrew,2021-03-29,795,12.0,2.0
חבורת כוח המוח (7) בעקבות הכסף האבוד,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,5.0,Hebrew,2021-03-29,795,52.0,1.0
חבורת כוח המוח (24) - גול אחד יכול,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.67,Hebrew,2021-03-29,795,55.0,1.0
חבורת כוח המוח (6) והתקלה המסתורית,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.38,Hebrew,2021-03-29,795,3.0,2.0
